replies_count,retweets_count,likes_count,date,High,Low,average_stock
384,245,9553,2021-02-04,856.5,833.419983,844.9599915
3128,5334,96900,2021-02-04,856.5,833.419983,844.9599915
34509,24830,540168,2021-02-02,880.5,842.200012,861.350006
4076,3546,126612,2021-02-02,880.5,842.200012,861.350006
172,148,3647,2021-02-02,880.5,842.200012,861.350006
6584,13755,231920,2021-02-02,880.5,842.200012,861.350006
868,2458,67052,2021-02-02,880.5,842.200012,861.350006
4126,2645,52104,2021-02-01,842.0,795.559998,818.779999
2260,3180,73774,2021-02-01,842.0,795.559998,818.779999
9562,10770,138982,2021-02-01,842.0,795.559998,818.779999
22094,37698,519485,2021-01-29,842.409973,780.099976,811.2549745
28404,58244,606879,2021-01-29,842.409973,780.099976,811.2549745
745,461,22349,2021-01-29,842.409973,780.099976,811.2549745
417,1550,19123,2021-01-29,842.409973,780.099976,811.2549745
859,1221,34502,2021-01-29,842.409973,780.099976,811.2549745
1144,3755,33942,2021-01-29,842.409973,780.099976,811.2549745
386,530,8588,2021-01-29,842.409973,780.099976,811.2549745
855,4783,109201,2021-01-29,842.409973,780.099976,811.2549745
8936,15411,343946,2021-01-29,842.409973,780.099976,811.2549745
17765,72722,453894,2021-01-29,842.409973,780.099976,811.2549745
843,3228,29659,2021-01-29,842.409973,780.099976,811.2549745
246,485,13663,2021-01-29,842.409973,780.099976,811.2549745
316,470,9059,2021-01-28,848.0,801.0,824.5
243,175,9967,2021-01-28,848.0,801.0,824.5
203,601,8996,2021-01-28,848.0,801.0,824.5
181,245,4908,2021-01-28,848.0,801.0,824.5
15360,68281,615653,2021-01-28,848.0,801.0,824.5
21442,136861,734984,2021-01-28,848.0,801.0,824.5
290,332,6981,2021-01-28,848.0,801.0,824.5
327,306,6818,2021-01-28,848.0,801.0,824.5
205,121,5205,2021-01-28,848.0,801.0,824.5
2792,14346,174515,2021-01-28,848.0,801.0,824.5
1337,2417,21215,2021-01-28,848.0,801.0,824.5
342,217,11890,2021-01-28,848.0,801.0,824.5
211,263,8444,2021-01-28,848.0,801.0,824.5
2227,2528,114589,2021-01-28,848.0,801.0,824.5
367,204,6872,2021-01-28,848.0,801.0,824.5
266,181,5008,2021-01-28,848.0,801.0,824.5
163,284,4870,2021-01-28,848.0,801.0,824.5
110,92,2680,2021-01-28,848.0,801.0,824.5
416,1260,21478,2021-01-28,848.0,801.0,824.5
311,311,14880,2021-01-28,848.0,801.0,824.5
75,55,1823,2021-01-28,848.0,801.0,824.5
221,171,2545,2021-01-28,848.0,801.0,824.5
536,622,10603,2021-01-28,848.0,801.0,824.5
1260,4028,63609,2021-01-28,848.0,801.0,824.5
139,151,2414,2021-01-28,848.0,801.0,824.5
148,77,2230,2021-01-28,848.0,801.0,824.5
1678,2311,79490,2021-01-28,848.0,801.0,824.5
2482,5740,133914,2021-01-28,848.0,801.0,824.5
4733,8763,215565,2021-01-28,848.0,801.0,824.5
14810,34560,480923,2021-01-28,848.0,801.0,824.5
14799,43709,577379,2021-01-28,848.0,801.0,824.5
876,1406,34187,2021-01-27,891.5,858.659973,875.0799865
2038,2209,55097,2021-01-27,891.5,858.659973,875.0799865
238,200,6793,2021-01-26,895.900024,871.599976,883.75
12284,36799,249907,2021-01-26,895.900024,871.599976,883.75
223,267,8206,2021-01-26,895.900024,871.599976,883.75
359,314,15413,2021-01-26,895.900024,871.599976,883.75
701,706,15319,2021-01-26,895.900024,871.599976,883.75
2823,2695,134738,2021-01-26,895.900024,871.599976,883.75
2225,5603,68265,2021-01-26,895.900024,871.599976,883.75
13671,17921,326689,2021-01-26,895.900024,871.599976,883.75
